time (ms), statusbyte, databyte1, datbaty2
 344250, 144, 55, 0
 344250, 144, 51, 0
 344825, 144, 59, 0
 345000, 144, 69, 29
 345000, 144, 58, 34
 345375, 144, 58, 0
 345375, 144, 69, 0
 347250, 144, 59, 100
 351000, 144, 67, 29
 351000, 144, 55, 34
 351000, 144, 57, 34
 351375, 144, 55, 0
 351375, 144, 67, 0
 351375, 144, 57, 0
 359250, 144, 59, 0
 360000, 255, 0, 0
 361500, 144, 62, 49
 361500, 144, 68, 49
 361500, 144, 74, 49
 361500, 144, 71, 49
 361500, 144, 72, 49
 362250, 144, 68, 0
 362250, 144, 71, 0
 362250, 144, 62, 0
 362250, 144, 72, 0
 362250, 144, 74, 0
 363000, 144, 65, 100
 363750, 144, 74, 100
 363750, 144, 66, 100
 364500, 144, 64, 100
 364500, 144, 74, 0
 364500, 144, 71, 100
 364500, 144, 72, 100
 365250, 144, 67, 100
 365250, 144, 74, 100
 365250, 144, 71, 0
 365250, 144, 64, 0
 365250, 144, 72, 0
 365500, 144, 66, 0
 366000, 144, 67, 0
 366000, 144, 74, 0
 366750, 144, 46, 100
 366750, 144, 42, 34
 366750, 144, 39, 34
 366750, 144, 51, 34
 367125, 144, 39, 0
 367125, 144, 51, 0
 367125, 144, 42, 0
 367300, 144, 53, 34
 367300, 144, 42, 34
 367300, 144, 55, 34
 367300, 144, 51, 34
 368050, 144, 51, 0
 368050, 144, 55, 0
 368050, 144, 53, 0
 368050, 144, 42, 0
 368250, 144, 65, 0
 369000, 144, 73, 49
 369000, 144, 78, 49
 369000, 144, 85, 49
 369000, 144, 83, 49
 369000, 144, 80, 49
 369750, 144, 78, 0
 369750, 144, 80, 0
 369750, 144, 73, 0
 369750, 144, 85, 0
 369750, 144, 83, 0
 371250, 144, 77, 100
 372000, 144, 39, 34
 372000, 144, 49, 34
 372000, 144, 51, 34
 372000, 144, 47, 34
 372500, 144, 72, 100
 372750, 144, 47, 0
 372750, 144, 39, 0
 372750, 144, 49, 0
 372750, 144, 51, 0
 372925, 144, 69, 100
 373250, 144, 72, 0
 376000, 144, 77, 0
 376650, 144, 74, 49
 376650, 144, 79, 49
 376650, 144, 67, 49
 377400, 144, 67, 0
 377400, 144, 74, 0
 377400, 144, 79, 0
 378750, 144, 46, 0
 379875, 144, 59, 100
 379875, 144, 56, 100
 379875, 144, 49, 100
 379875, 144, 61, 34
 379875, 144, 53, 100
 381875, 144, 74, 100
 382250, 144, 63, 100
 382425, 144, 64, 100
 382625, 144, 74, 0
 383000, 144, 63, 0
 383025, 144, 59, 0
 383025, 144, 53, 0
 383025, 144, 49, 0
 383025, 144, 61, 0
 383050, 144, 56, 0
 383250, 144, 50, 100
 384475, 144, 77, 100
 385225, 144, 77, 0
 387000, 144, 57, 34
 387000, 144, 43, 34
 387000, 144, 49, 34
 387375, 144, 66, 100
 387375, 144, 63, 100
 387750, 144, 43, 0
 387750, 144, 49, 0
 387750, 144, 57, 0
 387925, 144, 69, 0
 388125, 144, 63, 0
 388125, 144, 66, 0
 388150, 144, 64, 0
 388800, 144, 84, 100
 389550, 144, 84, 0
 390000, 144, 46, 34
 390750, 144, 46, 0
 392100, 144, 79, 49
 392325, 144, 92, 49
 392325, 144, 88, 49
 392325, 144, 80, 49
 392850, 144, 79, 0
 393075, 144, 80, 0
 393075, 144, 92, 0
 393075, 144, 88, 0
 393125, 144, 65, 100
 393125, 144, 67, 100
 393500, 144, 65, 0
 394075, 144, 68, 100
 394450, 144, 68, 0
 396400, 144, 69, 100
 396775, 144, 69, 0
 398250, 144, 83, 100
 398625, 144, 83, 0
 398650, 144, 78, 100
 398900, 144, 83, 100
 399000, 144, 44, 34
 399025, 144, 78, 0
 399150, 144, 70, 100
 399275, 144, 83, 0
 399500, 144, 67, 0
 399750, 144, 44, 0
 402775, 144, 74, 100
 402775, 144, 66, 100
 403125, 144, 47, 34
 403475, 144, 70, 0
 403525, 144, 66, 0
 403525, 144, 74, 0
 403875, 144, 47, 0
 403900, 144, 76, 100
 404250, 144, 70, 100
 404250, 144, 78, 100
 404250, 144, 80, 100
 404250, 144, 73, 100
 404650, 144, 76, 0
 405000, 144, 73, 0
 405000, 144, 64, 100
 405000, 144, 78, 0
 405000, 144, 80, 0
 405000, 144, 70, 0
 405000, 144, 50, 0
 405750, 144, 64, 0
 408000, 144, 53, 100
 408000, 144, 44, 34
 408000, 144, 51, 34
 408000, 144, 42, 34
 408375, 144, 44, 0
 408375, 144, 42, 0
 408375, 144, 51, 0
 409800, 144, 84, 48
 409800, 144, 75, 48
 410175, 144, 84, 0
 410175, 144, 75, 0
 411475, 144, 89, 100
 411475, 144, 82, 100
 411475, 144, 88, 100
 411475, 144, 93, 100
 411475, 144, 79, 100
 411625, 144, 41, 34
 411625, 144, 49, 34
 411625, 144, 45, 34
 411625, 144, 42, 34
 411850, 144, 93, 0
 411850, 144, 82, 0
 411850, 144, 79, 0
 411850, 144, 89, 0
 411850, 144, 88, 0
